0.000000, 0.000000, 7.000000, 0.000000
0.100000, 0.700000, 3.500000, 0.556359
0.200000, 1.050000, 2.180000, 0.920209
0.300000, 1.268000, 1.740000, 1.184560
0.400000, 1.442000, 1.660800, 1.401107
0.500000, 1.608080, 1.735600, 1.598934
0.600000, 1.781640, 1.882648, 1.794795
0.700000, 1.969905, 2.070308, 1.998757
0.800000, 2.176936, 2.287097, 2.217311
0.900000, 2.405645, 2.529710, 2.455087
1.000000, 2.658616, 2.798242, 2.715803
1.100000, 2.938440, 3.094291, 3.002806
1.200000, 3.247870, 3.420210, 3.319370
1.300000, 3.589891, 3.778827, 3.668887
1.400000, 3.967773, 4.173348, 4.054975
1.500000, 4.385108, 4.607338, 4.481566
1.600000, 4.845842, 5.084734, 4.952965
1.700000, 5.354315, 5.609872, 5.473910
1.800000, 5.915302, 6.187525, 6.049627
1.900000, 6.534055, 6.822944, 6.685883
2.000000, 7.216349, 7.521905, 7.389050
