0,1,2
0.1,1.3,1.8
0.2,1.52,1.64
0.3,1.676,1.512
0.4,1.7808,1.4096
0.5,1.84464,1.32768
0.6,1.875712,1.262144
0.7,1.88057,1.209715
0.8,1.864456,1.167772
0.9,1.831565,1.134218
1,1.785252,1.107374
1.1,1.728201,1.085899
1.2,1.662561,1.068719
1.3,1.590049,1.054976
1.4,1.512039,1.04398
1.5,1.429631,1.035184
1.6,1.343705,1.028147
1.7,1.254964,1.022518
1.8,1.163971,1.018014
1.9,1.071177,1.014412
2,0.976942,1.011529
