1, 5.4365637516, 4.1460675590, 5.4365637516
2, 1.4237104748, 1.7958794862, 0.0860927158
3, 0.6385169517, 1.1230071307, 0.0005063654
4, 0.3603192529, 0.8132476893, 0.0000008835
5, 0.2309483366, 0.6364534145, 0.0000000950
6, 0.1605110055, 0.5224586323, 0.0000000947
7, 0.1179842581, 0.4429519100, 0.0000000947
8, 0.0903604650, 0.3843784222, 0.0000000947
9, 0.0714115262, 0.3394502430, 0.0000000947
10, 0.0578523879, 0.3039051839, 0.0000000947
11, 0.0478174333, 0.2750862392, 0.0000000947
12, 0.0401834744, 0.2512518150, 0.0000000947
13, 0.0342415306, 0.2312131611, 0.0000000947
14, 0.0295262014, 0.2141313312, 0.0000000947
15, 0.0257217413, 0.1993974369, 0.0000000947
16, 0.0226078214, 0.1865589047, 0.0000000947
17, 0.0200269115, 0.1752723728, 0.0000000947
18, 0.0178639658, 0.1652726421, 0.0000000947
19, 0.0160333807, 0.1563516445, 0.0000000947
20, 0.0144703958, 0.1483438528, 0.0000000947
21, 0.0131252876, 0.1411159414, 0.0000000947
22, 0.0119593670, 0.1345593230, 0.0000000947
23, 0.0109421658, 0.1285846668, 0.0000000947
24, 0.0100494265, 0.1231178129, 0.0000000947
25, 0.0092616429, 0.1180966843, 0.0000000947
